line_item_usage_account_id,Product_region_code,line_item_usage_type,pricing_unit,Month,product_servicename,line_item_usage_type,Usage,Cost
Account2,eu-west-1,EU-Request-ARM,Requests,1,AWS Lambda,EU-Request-ARM,80080,0.015462
Account6,,EUW2-USE2-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUW2-USE2-AWS-Out-Bytes,5.93E-05,0.000001
Account6,,EU-APS2-AWS-Out-Bytes,GB,3,AWS Data Transfer,EU-APS2-AWS-Out-Bytes,0.003582301,0.000073
Account4,eu-west-1,EU-NatGateway-Bytes,GB,3,Amazon Elastic Compute Cloud,EU-NatGateway-Bytes,76.95692101,3.693932
Account5,eu-central-1,eu-central-1-KMS-Requests,Requests,3,AWS Key Management Service,eu-central-1-KMS-Requests,3020,0.009060
Account5,eu-west-1,EU-EBSOptimized:m4.4xlarge,Hrs,3,Amazon Elastic Compute Cloud,EU-EBSOptimized:m4.4xlarge,155,0.000000
Account6,ap-south-1,APS3-CW:AlarmMonitorUsage,Alarms,3,AmazonCloudWatch,APS3-CW:AlarmMonitorUsage,0.999999984,0.100000
Account2,ap-southeast-1,APS1-PaidEventsRecorded,Events,3,AWS CloudTrail,APS1-PaidEventsRecorded,31302,0.626040
Account3,ap-southeast-2,ap-southeast-2-KMS-Requests,Requests,3,AWS Key Management Service,ap-southeast-2-KMS-Requests,124,0.000372
Account1,,EUC1-EUN1-AWS-Out-Bytes,GB,3,AWS Data Transfer,EUC1-EUN1-AWS-Out-Bytes,6.06E-05,0.000001
Account2,,EU-APS1-AWS-In-Bytes,GB,3,AWS Data Transfer,EU-APS1-AWS-In-Bytes,0.019917395,0.000000
Account2,,EUC1-APS3-AWS-Out-Bytes,GB,3,AWS Data Transfer,EUC1-APS3-AWS-Out-Bytes,6.06E-05,0.000001
Account3,sa-east-1,SAE1-PaidEventsAnalyzed,Events,3,Amazon GuardDuty,SAE1-PaidEventsAnalyzed,46183,0.323281
Account4,eu-west-1,EU-Airflow-LargeWorker,Hrs,2,Amazon Managed Workflows for Apache Airflow,EU-Airflow-LargeWorker,9744.784221,2143.852529
Account5,eu-west-1,eu-west-1-KMS-Keys,Keys,2,AWS Key Management Service,eu-west-1-KMS-Keys,30.84051704,30.840517
Account2,,EU-EUN1-AWS-In-Bytes,GB,2,AWS Data Transfer,EU-EUN1-AWS-In-Bytes,0.016473937,0.000000
Account4,,USW1-EUC1-AWS-Out-Bytes,GB,2,AWS Data Transfer,USW1-EUC1-AWS-Out-Bytes,9.13E-06,0.000000
Account1,eu-west-1,EU-LCUUsage,LCU-Hrs,2,Elastic Load Balancing,EU-LCUUsage,46.08567238,0.346337
Account4,eu-north-1,EUN1-FreeEventsRecorded,Events,2,AWS CloudTrail,EUN1-FreeEventsRecorded,74605,0.000000
Account5,eu-west-3,EUW3-PaidEventsRecorded,Events,1,AWS CloudTrail,EUW3-PaidEventsRecorded,278475,5.569500
Account5,ca-central-1,CAN1-CW:AlarmMonitorUsage,Alarms,1,AmazonCloudWatch,CAN1-CW:AlarmMonitorUsage,0.999999984,0.100000
Account5,,EUW2-USE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUW2-USE1-AWS-Out-Bytes,6.79E-04,0.000014
Account4,,EUW2-APN3-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUW2-APN3-AWS-Out-Bytes,5.87E-05,0.000001
Account1,ap-south-1,APS3-PaidEventsRecorded,Events,1,AWS CloudTrail,APS3-PaidEventsRecorded,300479,6.009580
Account1,ap-northeast-1,APN1-PaidEventsRecorded,Events,1,AWS CloudTrail,APN1-PaidEventsRecorded,307433,6.148660
Account3,eu-west-2,EUW2-Requests-FIFO-Tier1,Requests,2,Amazon Simple Queue Service,EUW2-Requests-FIFO-Tier1,250261,0.125130
Account5,,EU-APN1-AWS-In-Bytes,GB,2,AWS Data Transfer,EU-APN1-AWS-In-Bytes,0.018515372,0.000000
Account6,,EU-EUC1-AWS-In-Bytes,GB,2,AWS Data Transfer,EU-EUC1-AWS-In-Bytes,0.001579609,0.000000
Account3,us-east-1,USE1-PaidEventsRecorded,Events,1,AWS CloudTrail,USE1-PaidEventsRecorded,1159700,23.194000
Account2,,EUW2-EUC1-AWS-Out-Bytes,GB,4,AWS Data Transfer,EUW2-EUC1-AWS-Out-Bytes,7.66E-05,0.000002
Account1,ap-southeast-2,ap-southeast-2-KMS-Requests,Requests,3,AWS Key Management Service,ap-southeast-2-KMS-Requests,124,0.000372
Account5,eu-west-1,EU-EC2-Scanning-agentless,Instance-hrs,3,Amazon Inspector,EU-EC2-Scanning-agentless,541.991855,1.317040
Account5,,EUC1-CAN1-AWS-Out-Bytes,GB,3,AWS Data Transfer,EUC1-CAN1-AWS-Out-Bytes,6.01E-05,0.000001
Account4,ap-northeast-3,APN3-AWSSecretsManagerAPIRequest,API Requests,1,AWS Secrets Manager,APN3-AWSSecretsManagerAPIRequest,86,0.000430
Account2,us-east-1,Requests-RBP,Requests,1,Amazon Simple Queue Service,Requests-RBP,143,0.000057
Account3,eu-west-1,EU-ShieldProtected-RequestV2-Tier1,Request,1,AWS WAF,EU-ShieldProtected-RequestV2-Tier1,2879817,0.000000
Account6,ap-south-1,APS3-TimedStorage-ByteHrs,GB-Mo,4,AmazonCloudWatch,APS3-TimedStorage-ByteHrs,0.018562878,0.000557
Account1,,EUC1-USW2-AWS-Out-Bytes,GB,4,AWS Data Transfer,EUC1-USW2-AWS-Out-Bytes,5.87E-05,0.000001
Account5,sa-east-1,SAE1-FreeEventsRecorded,Events,4,AWS CloudTrail,SAE1-FreeEventsRecorded,31228,0.000000
Account1,ca-central-1,CAN1-AWSSecretsManagerAPIRequest,API Requests,1,AWS Secrets Manager,CAN1-AWSSecretsManagerAPIRequest,84,0.000420
Account4,us-east-1,CW:Requests,Requests,1,AmazonCloudWatch,CW:Requests,39133,0.338100
Account2,us-east-1,Lambda-GB-Second-ARM,Lambda-GB-Second,2,AWS Lambda,Lambda-GB-Second-ARM,120.5791268,0.001578
Account2,us-east-1,Requests-Tier1,Requests,2,Amazon Simple Notification Service,Requests-Tier1,1123,0.000000
Account2,eu-west-2,EUW2-SecurityHubProduct:FreeFindingsIngestion,Finding Ingestion Events,2,AWS Security Hub,EUW2-SecurityHubProduct:FreeFindingsIngestion,14535,0.000000
Account1,,EUN1-EUC1-AWS-In-Bytes,GB,2,AWS Data Transfer,EUN1-EUC1-AWS-In-Bytes,7.88E-05,0.000000
Account3,,SAE1-DataTransfer-Out-Bytes,GB,2,AWS Data Transfer,SAE1-DataTransfer-Out-Bytes,3.60E-06,0.000000
Account6,,EUC1-EUW2-AWS-Out-Bytes,GB,2,AWS Data Transfer,EUC1-EUW2-AWS-Out-Bytes,7.56E-05,0.000002
Account2,,USE2-EUC1-AWS-Out-Bytes,GB,2,AWS Data Transfer,USE2-EUC1-AWS-Out-Bytes,7.99E-06,0.000000
Account1,us-west-2,USW2-PaidEventsRecorded,Events,2,AWS CloudTrail,USW2-PaidEventsRecorded,75776,1.515520
Account1,ap-southeast-1,APS1-FreeEventsRecorded,Events,4,AWS CloudTrail,APS1-FreeEventsRecorded,30284,0.000000
Account6,us-west-2,USW2-Requests-Tier1,Requests,1,Amazon Simple Queue Service,USW2-Requests-Tier1,120,0.000048
Account2,ap-northeast-1,APN1-Catalog-Request,Request,2,AWS Glue,APN1-Catalog-Request,185,0.000000
Account1,,USW2-DataTransfer-Out-Bytes,GB,2,AWS Data Transfer,USW2-DataTransfer-Out-Bytes,3.88E-06,0.000000
Account2,us-east-1,CW:Requests,Requests,2,AmazonCloudWatch,CW:Requests,22960,0.201370
Account5,ap-southeast-1,APS1-Catalog-Request,Request,2,AWS Glue,APS1-Catalog-Request,189,0.000000
Account5,ap-south-1,APS3-Requests-Tier1,Requests,4,Amazon Simple Notification Service,APS3-Requests-Tier1,90,0.000000
Account2,,EUW2-USE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUW2-USE1-AWS-Out-Bytes,7.49E-04,0.000015
Account3,ap-south-1,APS3-Requests-Tier1,Requests,1,Amazon Simple Notification Service,APS3-Requests-Tier1,352,0.000000
Account6,eu-west-2,EUW2-ConfigRuleEvaluations,ConfigRuleEvaluations,3,AWS Config,EUW2-ConfigRuleEvaluations,825,0.552000
Account6,ap-northeast-3,APN3-Requests-Tier1,Requests,3,Amazon Simple Queue Service,APN3-Requests-Tier1,31,0.000012
Account6,eu-west-1,EU-TimedStorage-INT-IA-ByteHrs,GB-Mo,3,Amazon Simple Storage Service,EU-TimedStorage-INT-IA-ByteHrs,12697.47714,158.718464
Account6,us-east-2,USE2-DataProcessing-Bytes,GB,1,AmazonCloudWatch,USE2-DataProcessing-Bytes,1.93E-04,0.000097
Account3,eu-west-2,EUW2-EC2-free-metering,Instance-hrs,3,Amazon Inspector,EUW2-EC2-free-metering,31,0.000000
Account5,eu-west-1,EU-StorageLens-ObjCount,Objects,1,Amazon Simple Storage Service,EU-StorageLens-ObjCount,7.26E+07,14.514938
Account6,us-west-2,USW2-SC-API-Calls,API Calls,1,AWS Service Catalog,USW2-SC-API-Calls,64,0.044100
Account5,eu-north-1,EUN1-SC-API-Calls,API Calls,2,AWS Service Catalog,EUN1-SC-API-Calls,11,0.005600
Account1,eu-west-3,EUW3-Requests-Tier1,Requests,2,Amazon Simple Queue Service,EUW3-Requests-Tier1,88,0.000035
Account4,us-east-2,USE2-Requests-Tier1,Requests,3,Amazon Simple Queue Service,USE2-Requests-Tier1,31,0.000012
Account3,sa-east-1,SAE1-SC-API-Calls,API Calls,1,AWS Service Catalog,SAE1-SC-API-Calls,63,0.042700
Account1,eu-west-3,EUW3-Requests-Tier1,Requests,3,Amazon Simple Queue Service,EUW3-Requests-Tier1,31,0.000012
Account4,eu-west-2,EUW2-Lambda-Standard-free-metering,Hourly,3,Amazon Inspector,EUW2-Lambda-Standard-free-metering,31,0.000000
Account5,,Global-DataZoneCompute,Units,1,Amazon DataZone,Global-DataZoneCompute,0.060583611,0.107596
Account1,eu-west-1,EU-activePipeline,pipelines,4,AWS CodePipeline,EU-activePipeline,14,14.000000
Account5,eu-west-1,EU-SpotUsage:m5.xlarge,Hours,3,Amazon Elastic Compute Cloud,EU-SpotUsage:m5.xlarge,39.716112,3.355835
Account3,eu-west-2,EUW2-OtherProduct:PaidFindingsIngestion,Finding Ingestion Events,2,AWS Security Hub,EUW2-OtherProduct:PaidFindingsIngestion,7,0.000042
Account5,,EUC1-DataTransfer-Out-Bytes,GB,1,AWS Data Transfer,EUC1-DataTransfer-Out-Bytes,7.56E-06,0.000001
Account5,eu-central-1,EUC1-ConfigurationItemRecorded,EUC1-ConfigurationItemRecorded,1,AWS Config,EUC1-ConfigurationItemRecorded,143,0.429000
Account3,us-east-1,USE1-OtherProduct:PaidFindingsIngestion,Finding Ingestion Events,4,AWS Security Hub,USE1-OtherProduct:PaidFindingsIngestion,7,0.000210
Account6,eu-west-1,EU-Requests-INT-Tier1,Requests,2,Amazon Simple Storage Service,EU-Requests-INT-Tier1,5,0.000025
Account2,ap-southeast-2,APS2-ConfigurationItemRecorded,APS2-ConfigurationItemRecorded,1,AWS Config,APS2-ConfigurationItemRecorded,2,0.006000
Account6,,EUC1-USE1-AWS-In-Bytes,GB,1,AWS Data Transfer,EUC1-USE1-AWS-In-Bytes,7.40E-04,0.000000
Account2,ap-northeast-3,APN3-ConfigurationItemRecorded,ConfigurationItemRecorded,2,AWS Config,APN3-ConfigurationItemRecorded,1,0.003000
Account6,,USE1-USW1-AWS-Out-Bytes,GB,4,AWS Data Transfer,USE1-USW1-AWS-Out-Bytes,0.007388659,0.000148
Account1,eu-central-1,EUC1-SecurityHubProduct:FreeFindingsIngestion,Finding Ingestion Events,4,AWS Security Hub,EUC1-SecurityHubProduct:FreeFindingsIngestion,17467,0.000000
Account6,,USE1-USE2-AWS-Out-Bytes,GB,4,AWS Data Transfer,USE1-USE2-AWS-Out-Bytes,0.007387713,0.000074
Account1,us-east-1,us-east-1-KMS-Keys,Keys,4,AWS Key Management Service,us-east-1-KMS-Keys,1.000000008,1.000000
Account6,eu-west-1,EU-CW:MetricMonitorUsage,Metrics,4,AmazonCloudWatch,EU-CW:MetricMonitorUsage,6.227777787,0.637778
Account4,eu-west-1,EU-Requests-Tier1,Requests,1,Amazon Simple Storage Service,EU-Requests-Tier1,5.96E+07,298.182955
Account6,,EU-DataTransfer-Out-Bytes,GB,1,AWS Data Transfer,EU-DataTransfer-Out-Bytes,44.64110498,3.973589
Account2,ap-south-1,APS3-FreeEventsRecorded,Events,1,AWS CloudTrail,APS3-FreeEventsRecorded,290507,0.000000
Account2,,EU-CAN1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-CAN1-AWS-Out-Bytes,0.008936628,0.000179
Account6,,USE1-EUW2-AWS-Out-Bytes,GB,1,AWS Data Transfer,USE1-EUW2-AWS-Out-Bytes,0.009091477,0.000182
Account5,,EU-EUN1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-EUN1-AWS-Out-Bytes,0.008201478,0.000165
Account4,us-east-1,us-east-1-KMS-Requests,Requests,1,AWS Key Management Service,us-east-1-KMS-Requests,9148,0.027444
Account6,,USE2-EUC1-AWS-Out-Bytes,GB,1,AWS Data Transfer,USE2-EUC1-AWS-Out-Bytes,4.85E-05,0.000001
Account1,,EU-USW1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-USW1-AWS-Out-Bytes,0.009846181,0.000197
Account5,eu-west-1,EU-TimedStorage-ByteHrs,GB-Mo,1,Amazon DynamoDB,EU-TimedStorage-ByteHrs,7.41E-04,0.000203
Account1,,EU-USE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-USE1-AWS-Out-Bytes,0.030429892,0.000609
Account1,us-west-1,USW1-Catalog-Request,Request,1,AWS Glue,USW1-Catalog-Request,239,0.000239
Account5,us-east-2,USE2-Requests-Tier1,Requests,1,Amazon Simple Notification Service,USE2-Requests-Tier1,349,0.000000
Account2,eu-west-1,EU-Requests,Requests,1,AWS CodeArtifact,EU-Requests,56820,0.089755
Account6,,USE1-APS1-AWS-Out-Bytes,GB,3,AWS Data Transfer,USE1-APS1-AWS-Out-Bytes,0.00755187,0.000151
Account3,,EU-EUN1-AWS-Out-Bytes,GB,3,AWS Data Transfer,EU-EUN1-AWS-Out-Bytes,0.004790835,0.000096
Account5,eu-west-1,EU-PaidRDSACUMonitored,ACU-Months,3,Amazon GuardDuty,EU-PaidRDSACUMonitored,6.408811621,1.730379
Account4,ca-central-1,CAN1-CW:AlarmMonitorUsage,Alarms,3,AmazonCloudWatch,CAN1-CW:AlarmMonitorUsage,0.999999984,0.100000
Account2,eu-west-1,EU-Request-ARM,Requests,3,AWS Lambda,EU-Request-ARM,90090,0.018018
Account5,eu-west-2,EUW2-Requests-FIFO-Tier1,Requests,3,Amazon Simple Queue Service,EUW2-Requests-FIFO-Tier1,282376,0.141188
Account2,eu-west-1,EU-WarmStorage-ByteHrs-EFS,GB-month,3,AWS Backup,EU-WarmStorage-ByteHrs-EFS,8.473656884,0.423683
Account3,eu-west-1,EU-Request,Request,3,AWS Lambda,EU-Request,113546,0.022709
Account2,eu-west-3,EUW3-CW:AlarmMonitorUsage,Alarms,3,AmazonCloudWatch,EUW3-CW:AlarmMonitorUsage,0.999999984,0.100000
Account1,us-west-1,USW1-PaidEventsAnalyzed,Events,3,Amazon GuardDuty,USW1-PaidEventsAnalyzed,35760,0.157344
Account3,,USE1-EUN1-AWS-Out-Bytes,GB,2,AWS Data Transfer,USE1-EUN1-AWS-Out-Bytes,0.002329478,0.000047
Account4,eu-west-1,EU-Airflow-SmallWorker,Hrs,2,Amazon Managed Workflows for Apache Airflow,EU-Airflow-SmallWorker,20452.67311,1124.897021
Account4,us-west-2,USW2-Catalog-Request,Request,2,AWS Glue,USW2-Catalog-Request,175,0.000175
Account6,eu-west-1,EU-LoadBalancerUsage,Hrs,2,Elastic Load Balancing,EU-LoadBalancerUsage,2784,70.156800
Account5,eu-west-3,EUW3-FreeEventsRecorded,Events,2,AWS CloudTrail,EUW3-FreeEventsRecorded,68464,0.000000
Account4,us-east-1,us-east-1-KMS-Keys,Keys,2,AWS Key Management Service,us-east-1-KMS-Keys,0.999999994,1.000000
Account6,,EUC1-APS2-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUC1-APS2-AWS-Out-Bytes,6.06E-05,0.000001
Account3,,EUC1-USE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUC1-USE1-AWS-Out-Bytes,7.81E-04,0.000016
Account2,us-west-1,USW1-FreeEventsRecorded,Events,1,AWS CloudTrail,USW1-FreeEventsRecorded,281575,0.000000
Account3,,EU-EqLD5-DataXfer-Out:dc.3,GB,2,AWS Direct Connect,EU-EqLD5-DataXfer-Out:dc.3,12.47710354,0.249542
Account3,,EUW2-SAE1-AWS-Out-Bytes,GB,2,AWS Data Transfer,EUW2-SAE1-AWS-Out-Bytes,5.55E-05,0.000001
Account4,eu-west-2,EUW2-PaidEventsRecorded,Events,2,AWS CloudTrail,EUW2-PaidEventsRecorded,212908,4.258160
Account5,ap-northeast-3,APN3-PaidEventsRecorded,Events,2,AWS CloudTrail,APN3-PaidEventsRecorded,59717,1.194340
Account1,ap-south-1,APS3-PaidEventsAnalyzed,Events,1,Amazon GuardDuty,APS3-PaidEventsAnalyzed,345999,1.522396
Account1,sa-east-1,SAE1-TimedStorage-ByteHrs,GB-Mo,1,AmazonCloudWatch,SAE1-TimedStorage-ByteHrs,0.001983151,0.000042
Account4,sa-east-1,SAE1-CW:AlarmMonitorUsage,Alarms,3,AmazonCloudWatch,SAE1-CW:AlarmMonitorUsage,0.999999984,0.130645
Account2,us-west-1,USW1-PaidEventsRecorded,Events,4,AWS CloudTrail,USW1-PaidEventsRecorded,26222,0.524440
Account2,eu-west-1,EU-Catalog-Storage,Obj-Month,3,AWS Glue,EU-Catalog-Storage,32.96236558,0.000319
Account1,,EUW3-DataTransfer-In-Bytes,GB,1,AWS Data Transfer,EUW3-DataTransfer-In-Bytes,1.12E-04,0.000000
Account5,,USW2-EUC1-AWS-Out-Bytes,GB,1,AWS Data Transfer,USW2-EUC1-AWS-Out-Bytes,5.87E-05,0.000001
Account6,eu-west-3,EUW3-PaidEventsAnalyzed,Events,1,Amazon GuardDuty,EUW3-PaidEventsAnalyzed,827481,3.640916
Account5,eu-west-1,EU-ReadRequestUnits,ReadRequestUnits,3,Amazon DynamoDB,EU-ReadRequestUnits,11397.5,0.003225
Account4,,EUC1-APN3-AWS-Out-Bytes,GB,3,AWS Data Transfer,EUC1-APN3-AWS-Out-Bytes,6.06E-05,0.000001
Account2,ap-northeast-2,APN2-CW:AlarmMonitorUsage,Alarms,2,AmazonCloudWatch,APN2-CW:AlarmMonitorUsage,0.999999994,0.100000
Account6,,EUW2-APN1-AWS-Out-Bytes,GB,2,AWS Data Transfer,EUW2-APN1-AWS-Out-Bytes,5.55E-05,0.000001
Account4,sa-east-1,SAE1-PaidEventsAnalyzed,Events,2,Amazon GuardDuty,SAE1-PaidEventsAnalyzed,124294,0.870058
Account5,us-west-2,USW2-FreeEventsRecorded,Events,2,AWS CloudTrail,USW2-FreeEventsRecorded,77860,0.000000
Account6,,EUW2-DataTransfer-In-Bytes,GB,2,AWS Data Transfer,EUW2-DataTransfer-In-Bytes,0.002135117,0.000000
Account2,,USW2-EUC1-AWS-In-Bytes,GB,2,AWS Data Transfer,USW2-EUC1-AWS-In-Bytes,8.00E-05,0.000000
Account3,eu-west-2,EUW2-Requests-Tier1,Requests,3,Amazon Simple Storage Service,EUW2-Requests-Tier1,52,0.000276
Account2,,USW1-DataTransfer-In-Bytes,GB,2,AWS Data Transfer,USW1-DataTransfer-In-Bytes,7.80E-05,0.000000
Account5,,APN3-EUC1-AWS-In-Bytes,GB,2,AWS Data Transfer,APN3-EUC1-AWS-In-Bytes,8.19E-05,0.000000
Account2,,APN2-DataTransfer-In-Bytes,GB,1,AWS Data Transfer,APN2-DataTransfer-In-Bytes,1.09E-04,0.000000
Account5,,USW2-DataTransfer-In-Bytes,GB,1,AWS Data Transfer,USW2-DataTransfer-In-Bytes,1.05E-04,0.000000
Account2,ap-northeast-1,APN1-TimedStorage-ByteHrs,GB-Mo,1,AmazonCloudWatch,APN1-TimedStorage-ByteHrs,0.002230788,0.000074
Account4,us-east-2,USE2-Requests-Tier1,Requests,1,Amazon Simple Queue Service,USE2-Requests-Tier1,122,0.000049
Account5,us-east-1,USE1-EC2-free-metering,Instance-hrs,1,Amazon Inspector,USE1-EC2-free-metering,27,0.000000
Account6,eu-north-1,EUN1-Lambda-GB-Second-ARM,Lambda-GB-Second,1,AWS Lambda,EUN1-Lambda-GB-Second-ARM,38.22924876,0.000490
Account5,eu-west-1,EU-BoxUsage:m5.xlarge,Hrs,2,Amazon Elastic Compute Cloud,EU-BoxUsage:m5.xlarge,10.671389,2.283677
Account2,eu-west-2,EUW2-TimedStorage-ByteHrs,GB-Mo,4,Amazon Simple Storage Service,EUW2-TimedStorage-ByteHrs,0.086531073,0.002027
Account2,eu-west-1,EU-Analysis-Runs,ReachabilityAnalyses,4,Amazon Virtual Private Cloud,EU-Analysis-Runs,12,1.200000
Account3,ap-south-1,APS3-Requests-Tier1,Requests,4,Amazon Simple Queue Service,APS3-Requests-Tier1,30,0.000012
Account4,eu-west-1,EU-Event-64K-Chunks,64K-Chunks,4,CloudWatch Events,EU-Event-64K-Chunks,25,0.000025
Account5,eu-west-1,EU-ECR-free-metering,Resource-assessment,2,Amazon Inspector,EU-ECR-free-metering,29,0.000000
Account3,sa-east-1,SAE1-Requests-Tier1,Requests,4,Amazon Simple Queue Service,SAE1-Requests-Tier1,30,0.000012
Account4,eu-west-2,EUW2-ECR-free-metering,Resource-assessment,2,Amazon Inspector,EUW2-ECR-free-metering,29,0.000000
Account5,eu-west-1,EU-TimedStorage-INT-IA-ByteHrs,GB-Mo,3,Amazon Simple Storage Service,EU-TimedStorage-INT-IA-ByteHrs,7.564203315,0.094553
Account1,eu-west-1,EU-activePipeline,pipelines,3,AWS CodePipeline,EU-activePipeline,14,14.000000
Account6,eu-west-2,EUW2-DeliveryAttempts-SMTP,Notifications,3,Amazon Simple Notification Service,EUW2-DeliveryAttempts-SMTP,1,0.000020
Account1,eu-central-1,EUC1-SC-API-Calls,API Calls,2,AWS Service Catalog,EUC1-SC-API-Calls,10,0.004900
Account5,ca-central-1,CAN1-CW:Requests,Requests,3,AmazonCloudWatch,CAN1-CW:Requests,5,0.000000
Account5,ap-southeast-2,APS2-CW:Requests,Requests,3,AmazonCloudWatch,APS2-CW:Requests,5,0.000000
Account2,sa-east-1,SAE1-ConfigurationItemRecorded,SAE1-ConfigurationItemRecorded,2,AWS Config,SAE1-ConfigurationItemRecorded,1,0.003000
Account4,eu-west-2,EUW2-ConfigurationItemRecorded,EUW2-ConfigurationItemRecorded,2,AWS Config,EUW2-ConfigurationItemRecorded,55,0.165000
Account5,eu-west-1,EU-Requests-GLACIER-Tier1,Requests,1,Amazon Simple Storage Service,EU-Requests-GLACIER-Tier1,1,0.000033
Account3,,DataTransfer-In-Bytes,GB,4,AWS Data Transfer,DataTransfer-In-Bytes,1.43E-07,0.000000
Account6,,USE1-APN1-AWS-Out-Bytes,GB,4,AWS Data Transfer,USE1-APN1-AWS-Out-Bytes,0.007389152,0.000148
Account1,eu-west-1,EU-Requests-Tier1,Requests,4,Amazon Simple Notification Service,EU-Requests-Tier1,9312,0.004656
Account3,,USE1-USW2-AWS-Out-Bytes,GB,4,AWS Data Transfer,USE1-USW2-AWS-Out-Bytes,0.002493,0.000050
Account4,,EU-USE2-AWS-Out-Bytes,GB,4,AWS Data Transfer,EU-USE2-AWS-Out-Bytes,0.005159502,0.000104
Account2,sa-east-1,SAE1-CW:AlarmMonitorUsage,Alarms,4,AmazonCloudWatch,SAE1-CW:AlarmMonitorUsage,1.000000008,0.130500
Account2,,EU-USE2-AWS-In-Bytes,GB,4,AWS Data Transfer,EU-USE2-AWS-In-Bytes,0.022324348,0.000000
Account6,us-east-1,Requests-RBP,Requests,4,Amazon Simple Queue Service,Requests-RBP,16329,0.006532
Account6,eu-west-1,EU-DataProcessing-Bytes,GB,1,AmazonCloudWatch,EU-DataProcessing-Bytes,1158.660859,660.436690
Account6,eu-west-1,EU-AWSSecretsManager-APIRequests,API Requests,1,AWS Secrets Manager,EU-AWSSecretsManager-APIRequests,843323,4.216615
Account2,,EU-SAE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-SAE1-AWS-Out-Bytes,0.009033029,0.000181
Account6,,USE1-APN1-AWS-Out-Bytes,GB,1,AWS Data Transfer,USE1-APN1-AWS-Out-Bytes,0.007352793,0.000147
Account2,eu-west-2,EUW2-PaidEventsRecorded,Events,1,AWS CloudTrail,EUW2-PaidEventsRecorded,801734,16.034680
Account6,ap-northeast-1,APN1-CW:AlarmMonitorUsage,Alarms,1,AmazonCloudWatch,APN1-CW:AlarmMonitorUsage,0.999999984,0.100000
Account3,us-west-1,us-west-1-KMS-Requests,Requests,1,AWS Key Management Service,us-west-1-KMS-Requests,2931,0.008793
